time,x,y,Q,dist,pan,tilt
1770613919.1466637,-96.53023,0.069434,179.9976,73,25,60
1770613919.1467335,-96.53023,0.069434,179.9976,38,45,60
1770613919.146755,-96.53023,0.069434,179.9976,68,65,60
1770613919.1467702,-96.53023,0.069434,179.9976,74,85,60
1770613919.1467848,-96.53023,0.069434,179.9976,75,105,60
1770613919.1467993,-96.53023,0.069434,179.9976,76,125,60
1770613919.1468139,-96.53023,0.069434,179.9976,66,145,60
1770613919.146828,-96.53023,0.069434,179.9976,31,25,90
1770613919.1468418,-96.53023,0.069434,179.9976,18,45,90
1770613919.1468558,-96.53023,0.069434,179.9976,19,65,90
1770613919.14687,-96.53023,0.069434,179.9976,30,85,90
1770613919.1468837,-96.53023,0.069434,179.9976,24,105,90
1770613919.146898,-96.53023,0.069434,179.9976,16,125,90
1770613919.146912,-96.53023,0.069434,179.9976,16,145,90
1770613919.146926,-96.53023,0.069434,179.9976,18,25,120
1770613919.1469398,-96.53023,0.069434,179.9976,19,45,120
1770613919.1469538,-96.53023,0.069434,179.9976,16,65,120
1770613919.1469681,-96.53023,0.069434,179.9976,37,85,120
1770613919.1469893,-96.53023,0.069434,179.9976,29,105,120
1770613919.1470046,-96.53023,0.069434,179.9976,18,125,120
1770613919.147019,-96.53023,0.069434,179.9976,16,145,120
1770613929.5362663,-60.07189,7.546906,11.59261,23,25,60
1770613929.5362933,-60.07189,7.546906,11.59261,45,45,60
1770613929.5363095,-60.07189,7.546906,11.59261,51,65,60
1770613929.536324,-60.07189,7.546906,11.59261,24,85,60
1770613929.5363379,-60.07189,7.546906,11.59261,22,105,60
1770613929.536352,-60.07189,7.546906,11.59261,23,125,60
1770613929.5363657,-60.07189,7.546906,11.59261,58,145,60
1770613929.5363798,-60.07189,7.546906,11.59261,21,25,90
1770613929.5363936,-60.07189,7.546906,11.59261,39,45,90
1770613929.5364077,-60.07189,7.546906,11.59261,39,65,90
1770613929.5364215,-60.07189,7.546906,11.59261,21,85,90
1770613929.5364356,-60.07189,7.546906,11.59261,21,105,90
1770613929.5364492,-60.07189,7.546906,11.59261,22,125,90
1770613929.5364633,-60.07189,7.546906,11.59261,26,145,90
1770613929.536477,-60.07189,7.546906,11.59261,17,25,120
1770613929.536491,-60.07189,7.546906,11.59261,36,45,120
1770613929.5365045,-60.07189,7.546906,11.59261,16,65,120
1770613929.5365183,-60.07189,7.546906,11.59261,17,85,120
1770613929.5365324,-60.07189,7.546906,11.59261,16,105,120
1770613929.5365498,-60.07189,7.546906,11.59261,21,125,120
1770613929.536564,-60.07189,7.546906,11.59261,17,145,120
1770613934.4909632,-3.192376,19.21268,11.59261,21,25,60
1770613934.4909942,-3.192376,19.21268,11.59261,47,45,60
1770613934.4910102,-3.192376,19.21268,11.59261,41,65,60
1770613934.491026,-3.192376,19.21268,11.59261,22,85,60
1770613934.4910405,-3.192376,19.21268,11.59261,21,105,60
1770613934.4910548,-3.192376,19.21268,11.59261,22,125,60
1770613934.4910731,-3.192376,19.21268,11.59261,51,145,60
1770613934.4910874,-3.192376,19.21268,11.59261,20,25,90
1770613934.4911013,-3.192376,19.21268,11.59261,34,45,90
1770613934.4911158,-3.192376,19.21268,11.59261,24,65,90
1770613934.4911299,-3.192376,19.21268,11.59261,21,85,90
